,index,Unnamed: 0,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Sentiment
0,0,1,"@kahruveldesign: …he wrote Jan. 23. “My phones ringing now, don’t ‘need’ government business. I’m letting know that…",False,0.0,,2020-05-09 22:25:07,False,,1259248057582940161,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",thinkalot,1.0,True,False,,,Negative
1,1,2,Please Share This Warning. It's Not About Popularity. https://t.co/5wbycGvZV8 #CoronavirusUSA #coronavirus #COVID19… https://t.co/J9MftWutDO,False,0.0,,2020-05-09 22:22:13,True,,1259247327904256003,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DRandall,0.0,False,False,,,Negative
2,2,3,@mtnbvan: #COVID19USA #coronaviruspandemic #coronavirususa,False,0.0,,2020-05-09 22:19:37,False,,1259246674750439424,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ghost1144,1.0,True,False,,,Negative
3,3,4,@FreeRadioRevolu: WOW! VENTURA COUNTY START FORCIBLY REMOVING PEOPLE FROM THEIR HOMES!! https://t.co/evlSnlGzgp #CoronavirusUSA #coro…,False,0.0,,2020-05-09 22:17:23,False,,1259246112088551424,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tommy_Voltaire,18.0,True,False,,,Positive
4,4,5,@W7VOA: #CoronavirusUSA @CDCgov,False,0.0,,2020-05-09 22:16:55,False,,1259245996392890368,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MoJamesApted,2.0,True,False,,,Negative
5,5,6,@AFPphoto: #USA Empty Las Vegas Strip counts losses locals venture #CoronavirusUSA https://t.co/VQXFdtharE https://t.co/tJZLb2D…,False,0.0,,2020-05-09 22:15:28,False,,1259245631866101762,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",taxidiwtis,3.0,True,False,,,Negative
6,6,7,"@frequentbuyer1: often wonder I’ll among 30,000 future #CoronavirusUSA deaths. I’ve already told husband die want…",False,0.0,,2020-05-09 22:12:02,False,,1259244766836879361,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KauaiLatina,8.0,True,False,,,Negative
7,7,8,@AFPphoto: #USA Empty Las Vegas Strip counts losses locals venture #CoronavirusUSA https://t.co/VQXFdtharE https://t.co/tJZLb2D…,False,0.0,,2020-05-09 22:11:31,False,,1259244637358784512,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",goldtoochunky,3.0,True,False,,,Negative
8,8,9,Here's know study claims new dominant strain virus could spread faster https://t.co/fXHeLmLvKw,False,0.0,,2020-05-09 22:10:21,True,,1259244343082139649,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vic_Stone1,0.0,False,False,,,Positive
9,9,10,@AFPphoto: #USA Empty Las Vegas Strip counts losses locals venture #CoronavirusUSA https://t.co/VQXFdtharE https://t.co/tJZLb2D…,False,0.0,,2020-05-09 22:10:17,False,,1259244324522516482,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",coloreslocos,3.0,True,False,,,Negative
10,10,11,#USA Empty Las Vegas Strip counts losses locals venture #CoronavirusUSA https://t.co/VQXFdtharE https://t.co/tJZLb2D6Bt,False,7.0,,2020-05-09 22:10:00,False,,1259244253076525057,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",AFPphoto,3.0,False,False,,,Negative
11,11,12,#COVID19USA #coronaviruspandemic #coronavirususa https://t.co/hKsqHuZ9X6,False,0.0,,2020-05-09 22:09:57,False,,1259244240401584128,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mtnbvan,1.0,False,False,,,Negative
12,12,13,expert disaster preparedness accused Donald Trump Mike Pence failing grasp fact https://t.co/7SzLda9nab,False,0.0,,2020-05-09 22:09:35,True,,1259244147610804224,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vic_Stone1,0.0,False,False,,,Negative
